"Variable","Topic_Number","Subtopic","Subtopic_Number","EditFlag","Description","Instrument_Variable_Name","Imputation_Strategy","table_name","Availability","Survey Year","Topic","Updated Universe","Disclosure","User Notes","Question","Variable_Number","TYPE","Present_in_Survey_Years","Associated Response Codes"
"METRO3","1","Geography","2","NA","Central city / suburban status",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2003,2001); TOPPUF(1999,1997)","PUF","2013;2011;2009;2007;2005;2003;2001;1999;1997","Admin",,,"Variable may be changed and/or suppressed in National Survey to comply with 100,000 population rule. Beginning with the 2011 AHS, METRO3 was assigned differently. Various definitions of central city and urban areas (1980, 1990, and 2000 definitions) were used depending on when the sample unit was added to the survey. Additionally, METRO3 was altered in some cases to maintain Census disclosure standards; some cases in the 2011 metropolitan oversample were assigned values that would mask their location. Due to disclosure rules, we are prevented from indicating which cases use the 1980, 1990, and 2000 geographies. Prior to 2011, METRO3 was only on the national file and based on the 1983 OMB definitions of metropolitan areas, 1980 urban area definitions, and 1980 central city definitions. The 1990 and 2000 definitions were not used. Users should use this variable with caution as it does not reflect the most recent OMB definitions.",,22,"Character","2013;2011;2009;2007;2005;2003;2001;1999;1997","1: Central city of MSA||2: Inside MSA, but not in central city - urban||3: Inside MSA, but not in central city - rural||4: Outside MSA, urban||5: Outside MSA, rural||9: Inside MSA, unspecified (Charlotte only)"
"PMSA","1","Geography","2","NA","1990 design PMSA code",,"Coming Soon","TOPPUF","PUF","1998","Admin",,,,"1990 design PMSA code",23,,"1998","0040:9340: 0040-9340||9999: Not in a PMSA"
"PSUDOTCT","1","Geography","2","NA","Census tract for 1970, 1980 or 1990 containing case",,"Coming Soon",,"PUF","2004;2002","Admin",,,"Variable may be changed and/or suppressed in the Metro survey to comply with 100,000 population rule. Number does not correspond to the real Census tract numbers to preserve confidentiality.",,24,"Character","2004;2002",
"REGION","1","Geography","2","NA","Census region",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2003,2001); TOPPUF(1999,1997)","PUF","2013;2011;2009;2007;2005;2003;2001;1999;1997","Admin",,,"Northeast includes: Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania. Midwest includes: Ohio, Indiana, Illinois, Michigan, Wisconsin, Minnesota, Iowa, Missouri, North Dakota, South Dakota, Nebraska, Kansas. South includes: Delaware, Maryland, District of Columbia, Virginia, West Virginia, North Carolina, South Carolina, Georgia, Florida, Kentucky, Tennessee, Alabama, Mississippi, Arkansas, Louisiana, Oklahoma, Texas. West includes: Montana, Idaho, Wyoming, Colorado, New Mexico, Arizona, Utah, Nevada, Washington, Oregon, California, Alaska, Hawaii.",,25,"Character","2013;2011;2009;2007;2005;2003;2001;1999;1997","1: Northeast||2: Midwest||3: South||4: West"
"SMSA","1","Geography","2","NA","1980 design PMSA code",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); TYPEC(2011); TOPPUF(1999,1998,1997); WEIGHT(1998)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Admin",,,"9999 code not present in MSA files. Codes 9991-9993 are used for a few cases where rare combinations of SMSA and METRO prevent us showing exact metro codes. See https://www.census.gov/hhes/www/housing/ahs/metrodates.html for a list of which metropolitan areas are included in each metropolitan survey. As a supplement to the national survey, the 1995, 1999, 2003, and 2009 national data include extra cases to allow separate analyses of 6 areas: Chicago (0620, 1600, 3690, 3965, 9991), Detroit (2160), Los Angeles (4480), New York (5380, 5600, 9992), Northern New Jersey (0875, 3640, 5015, 5190, 5640, 8480, 9993), and Philadelphia (6160). (Los Angeles was not surveyed in 2009.) All cases within these 18 MSA codes are covered, except Joliet City outside Chicago, and non-urbanized areas in Los Angeles, CA and Orange County, NY. For the national PUF, the SMSA code refers to the collection of counties included in the SMSA of that name in 1983. The 1983 SMSA definitions can be found at https://www.census.gov/population/www/metroareas/pastmetro.html For national sample cases, the SMSA is based on the OMB's 1983 MSA definitions, in most cases. For metropolitan sample cases in 2011, SMSA is based on OMB's 2003 MSA definitions, released in June 2003. For earlier metropolitan samples, see Census metropolitan reports at https://www.census.gov/housing/ahs/data/metro.html. Type changed from numeric to character beginning in 2011.","1980 design SMSA code used to uniquely identify each MSA",26,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997",".: Buffalo, NY (Metro surveys only)||0080: Akron, OH||0160: Albany-Schenectady-Troy, NY||0200: Albuquerque, NM||0240: Allentown-Bethlehem-Easton, PA||0275: Alton-Granite City, IL||0360: Anaheim-Santa Ana (Orange County), CA||0460: Appleton-Oshkosh-Neenah, WI||0520: Atlanta, GA||0560: Atlantic City, NJ||0600: Augusta, GA-SC||0620: Aurora-Elgin, IL||0640: Austin, TX||0680: Bakersfield, CA||0720: Baltimore, MD||0760: Baton Rouge, LA||0840: Beaumont-Port Arthur, TX||0845: Beaver, PA||0875: Bergen-Passaic, NJ||1000: Birmingham, AL||1120: Boston, MA||1125: Boulder-Longmont, CO||1160: Bridgeport-Milford, CT||1320: Canton, OH||1440: Charleston, SC||1560: Chattanooga, TN-GA||1600: Chicago, IL||1640: Cincinnati, OH-KY-IN||1680: Cleveland, OH||1720: Colorado Springs, CO||1760: Columbia, SC||1840: Columbus, OH||1880: Corpus Christi, TX||1920: Dallas, TX||1960: Davenport-Rock Island-Moline, IA-IL||2020: Daytona Beach, FL||2080: Denver, CO||2120: Des Moines, IA||2160: Detroit, MI||2240: Duluth, MN-WI||2285: East Saint Louis-Belleville, IL||2320: El Paso, TX||2360: Erie, PA||2400: Eugene-Springfield, OR||2440: Evansville, IN-KY||2640: Flint, MI||2680: Fort Lauderdale-Hollywood, FL||2700: Fort Myers-Cape Coral, FL||2760: Fort Wayne, IN||2800: Fort Worth-Arlington, TX||2840: Fresno, CA||2960: Gary-Hammond, IN||3000: Grand Rapids, MI||3120: Greensboro-Winston Salem-High Point, NC||3160: Greenville-Spartanburg, SC||3280: Hartford, CT||3320: Honolulu, HI||3360: Houston, TX||3480: Indianapolis, IN||3560: Jackson, MS||3600: Jacksonville, FL||3640: Jersey City, NJ||3660: Johnson City-Kingsport-Bristol, TN-VA||3760: Kansas City, MO-KS||3840: Knoxville, TN||3965: Lake County, IL||3980: Lakeland-Winter Haven, FL||4000: Lancaster, PA||4040: Lansing-East Lansing, MI||4120: Las Vegas, NV||4160: Lawrence-Haverhill, MA-NH||4280: Lexington-Fayette, KY||4400: Little Rock-North Little Rock, AR||4480: Los Angeles-Long Beach, CA||4720: Madison, WI||4880: McAllen-Edinburgh-Mission, TX||4900: Melbourne-Titusville-Palm Bay, FL||4920: Memphis, TN-AR-MS||5000: Miami-Hialeah, FL||5015: Middlesex-Somerset-Hunterdon, NJ||5080: Milwaukee, WI||5120: Minneapolis-Saint Paul, MN||5160: Mobile, AL||5170: Modesto, CA||5190: Monmouth-Ocean, NJ||5240: Montgomery, AL||5360: Nashville, TN||5380: Nassau-Suffolk, NY||5480: New Haven-Meriden, CT||5560: New Orleans, LA||5600: New York City, NY||5640: Newark, NJ||5680: Norfolk-Newport News (Metro surveys only), VA-NC||5775: Oakland, CA||5880: Oklahoma City, OK||5920: Omaha, NE-IA||5960: Orlando, FL||6000: Oxnard-Ventura, CA||6080: Pensacola, FL||6120: Peoria, IL||6160: Philadelphia, PA-NJ||6200: Phoenix, AZ||6280: Pittsburgh, PA||6480: Providence, RI||6640: Raleigh-Durham, NC||6780: Riverside-San Bernardino (6780 used in national surveys), CA||6840: Rochester, NY||6880: Rockford, IL||6920: Sacramento, CA||7040: Saint Louis, MO-IL||7090: Salem-Gloucester, MA||7120: Salinas-Seaside-Monterey, CA||7160: Salt Lake City-Ogden, UT||7240: San Antonio, TX||7280: Riverside-San Bernardino (6780 in all national surveys), CA||7320: San Diego, CA||7360: San Francisco, CA||7400: San Jose, CA||7480: Santa Barbara-Santa Maria-Lompoc, CA||7500: Santa Rosa-Petaluma, CA||7510: Sarasota, FL||7560: Scranton-Wilkes Barre, PA||7600: Seattle, WA||7680: Shreveport, LA||7840: Spokane, WA||8000: Springfield, MA||8040: Stamford, CT||8120: Stockton, CA||8160: Syracuse, NY||8200: Tacoma, WA||8280: Tampa-Saint Petersburg-Clearwater, FL||8400: Toledo, OH||8480: Trenton, NJ||8520: Tucson, AZ||8560: Tulsa, OK||8680: Utica-Rome, NY||8720: Vallejo-Fairfield-Napa, CA||8840: Washington, DC-MD-VA||8880: Waterbury, CT||8960: West Palm Beach-Boca Raton, FL||9040: Wichita, KS||9240: Worcester, MA||9320: Youngstown-Warren, OH||9991: Chicago Areas (0620-Aurora-Elgin, 1600-Chicago, 3690-Joliet, 3965-Lake)||9992: New York Areas (5380-Nassau-Suffolk, 5600-New York)||9993: Northern New Jersey Areas (0875-Bergen-Passaic, 3640-Jersey City, 5015-Middlesex-Somerset-Hunterdon,||9999: Non-Metro or Suppressed MS"
"ZONE","1","Geography","2","NA","Defined area of > 100,000 population",,"Coming Soon","NEWHOUSE(2011,2004,2002); HOUSHLD(1998)","PUF","2011;2004;2002;1998","Admin",,,"Not applicable (B) could mean an area where Census does not define a zone or that data was withheld for disclosure reasons. AHS Zones are specific to the survey year, as is the geography used to create the AHS Zones. AHS Zones may change between survey years. Users are strongly cautioned against making comparisons between survey years for AHS Zones with the same value for the ZONE variable. User should consult the available AHS maps and GIS layers to determine if AHS Zone boundaries have changed between metropolitan surveys.","A zone is defined as a socio-economically homogeneous area of greater than 100,000 population. It does not necessarily correspond to a geographic subdivision although in almost all cases each identified zone is equivalent to a group of Censu",27,"Character","2011;2004;2002;1998","001:099: Zones inside the central city of an MSA||101:199: Zones in the suburbs of an MSA||201:299: Hybrid zones - contain cases in both the central city and the suburbs of an MSA||B or -6: Not applicable"
"WEIGHT","1","Weighting","3","NA","Final weight","NA","Coming soon","HOUSEHOLD(2017,2015); NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); WEIGHT(1999,1998,1997)","PUF","2017;2015;2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Admin","INTSTATUS in ('1' '2' '3')","None","Each housing unit in the AHS represents itself and a number of other units. In order to develop estimates using the AHS the final weight must be applied to the survey data. The final weight starts with the inverse of the sampling fraction (PWT) and incorporates several adjustment factors that minimize sampling errors and errors from incomplete survey data. The Noninterview Adjustment Factor increases the weight of each interviewed unit to account for sampled units that were not interviewed. This adjustment is applied to five classes of geography: central cities, urban and rural inside MSAs, urban and rural outside MSAs. Over time the geographic boundaries related to these five classes may be redefined by local or state governments. For National surveys, WEIGHT uses the boundaries as they were officially defined in 1980. For Metro surveys, WEIGHT uses the boundaries as they were defined in the decennial year prior to the survey year. More information on weighting can be found at www.census.gov/programs-surveys/ahs/tech-documentation/def-errors-changes.html. WEIGHT may be used with all Metro surveys, and for National survey years 1997, 1999, and 2015 and later. For National survey years 2001 to 2013, WGT90GEO should be used as the final weight.","Final weight",1,"Numeric","2017;2015;2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","0 : 99999: 0 to 99,999"
"SPLITSAMP","1","Weighting","3","NA","Flag indicating split sample group","NA","Coming Soon","HOUSEHOLD","PUF","2017;2015","Admin","INTSTATUS = '1'","None","Some AHS modules are considered to be ""topical"" as opposed to ""core."" Topical modules are included on a rotating basis and are usually asked of only half the AHS sample. When a topical module is only asked of half the sample a split sample flag is assigned to designate group 1 or 2. In 2017, Group 1 included the topic Commuting; Group 2 included Disaster Planning. In 2015, Group 1 included the topics Art, Food Security, and Housing Counseling; Group 2 included Healthy Homes.","NA",2,"Character","2017;2015","1: Group 1||2: Group 2"
"SP1WEIGHT","1","Weighting","3","NA","Final weight for split sample: group 1 topical modules","NA","Coming soon","HOUSEHOLD","PUF","2017;2015","Admin","INTSTATUS = '1' and SPLITSAMP = '1'","None","Some AHS modules are considered to be ""topical"" as opposed to ""core."" Topical modules are included on a rotating basis and are usually asked of only half the AHS sample. When a topical module is only asked of half the sample a special weight is provided that must be used for estimating those data items. SP1WEIGHT is only present for records that are in group 1; SP2WEIGHT is only present for records in group 2. In 2017, Group 1 included the topic Commuting; Group 2 included Disaster Planning. In 2015, Group 1 included the topics Art, Food Security, and Housing Counseling; Group 2 included Healthy Homes.","NA",3,"Numeric","2017;2015","0 : 99999: 0 to 99,999"
"SP2WEIGHT","1","Weighting","3","NA","Final weight for split sample: group 2 topical modules","NA","Coming soon","HOUSEHOLD","PUF","2017;2015","Admin","INTSTATUS = '1' and SPLITSAMP = '2'","None","Some AHS modules are considered to be ""topical"" as opposed to ""core."" Topical modules are included on a rotating basis and are usually asked of only half the AHS sample. When a topical module is only asked of half the sample a special weight is provided that must be used for estimating those data items. SP1WEIGHT is only present for records that are in group 1; SP2WEIGHT is only present for records in group 2. In 2017, Group 1 included the topic Commuting; Group 2 included Disaster Planning. In 2015, Group 1 included the topics Art, Food Security, and Housing Counseling; Group 2 included Healthy Homes.","NA",4,"Numeric","2017;2015","0 : 99999: 0 to 99,999"
"STATEWGT","1","Weighting","3","NA","Final weight for state estimates","NA","Coming Soon","HOUSEHOLD","IUF Only","2017;2015","Admin","INTSTATUS in ('1' '2' '3')","None","Use STATEWGT when producing state-level estimates. Note that STATEWGT is the same as WEIGHT for the following states: CA, TX, FL, NY, PA. These five states will be available every survey year; selected states will also be available in each year (for core estimates, not topical modules). For 2015, the following states are also available: CO, OH","NA",5,"Numeric","2017;2015","0 : 99999: 0 to 99,999||M or -9: State weight not available"
"REPWEIGHTXXX","1","Weighting","3","NA","Replicate weight (XXX represents 1 - 160)","NA","Coming Soon","HOUSEHOLD","PUF","2017;2015","Admin","INTSTATUS in ('1' '2' '3')","None","More information on using replicate weights can be found at https://www.census.gov/programs-surveys/ahs/tech-documentation/help-guides.html.","NA",8,"Numeric","2017;2015","0 : 99999: 0 to 99,999"
"SP1REPWGTXXX","1","Weighting","3","NA","Replicate weight for split sample: group 1 topical modules (XXX represents 1 - 160)","NA","Coming Soon","HOUSEHOLD","PUF","2017;2015","Admin","INTSTATUS = '1' and SPLITSAMP = '1'","None","More information on using replicate weights can be found at https://www.census.gov/programs-surveys/ahs/tech-documentation/help-guides.html.","NA",9,"Numeric","2017;2015","0 : 99999: 0 to 99,999"
